age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
17,2,1,2,1,3,4,5,1,1,1,3,2,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,True,False
18,1,2,3,1,0,4,3,3,2,3,3,3,True,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False,True,True
18,3,3,1,2,1,4,3,3,1,3,5,8,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,True
16,2,1,1,2,0,5,3,4,1,1,2,8,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True
20,2,2,1,2,2,5,5,4,4,5,4,11,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False
18,2,2,2,2,0,3,3,3,5,5,4,0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False
15,4,4,1,2,0,4,3,3,1,1,5,2,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False
16,1,1,2,2,0,3,4,2,1,1,5,18,False,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False
18,2,1,2,2,0,5,3,3,1,2,1,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False
15,4,4,2,2,0,4,4,3,1,1,2,2,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,False,False
15,3,4,1,2,0,5,5,1,1,1,5,0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False
17,4,3,2,3,0,4,4,2,1,1,4,6,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True
17,3,1,1,3,0,3,4,3,2,3,5,1,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
18,3,2,3,1,0,4,4,1,3,4,5,0,True,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
